Dataset,LogEntry
team_names,2024-12-03 00:55:02.636699 - Detected 0 duplicate rows.
team_names,2024-12-03 00:55:02.636699 - Removed duplicate rows.
team_names,2024-12-03 00:55:02.636699 - Removed duplicate columns.
team_names,"2024-12-03 00:55:02.636699 - Dropped unwanted columns: ['extra_time', 'penalties', 'home_penalties', 'away_penalties', 'height_ft', 'height_in', 'weight_lb']"
player_names,2024-12-03 00:55:02.655734 - Detected 0 duplicate rows.
player_names,2024-12-03 00:55:02.657768 - Removed duplicate rows.
player_names,2024-12-03 00:55:02.657768 - Removed duplicate columns.
player_names,"2024-12-03 00:55:02.657768 - Dropped unwanted columns: ['extra_time', 'penalties', 'home_penalties', 'away_penalties', 'height_ft', 'height_in', 'weight_lb', 'height_ft_outlier', 'height_in_outlier', 'weight_lb_outlier']"
match_data,2024-12-03 00:55:02.743109 - Detected 0 duplicate rows.
match_data,2024-12-03 00:55:02.751166 - Removed duplicate rows.
match_data,2024-12-03 00:55:02.751166 - Removed duplicate columns.
match_data,"2024-12-03 00:55:02.751166 - Dropped unwanted columns: ['extra_time', 'penalties', 'home_penalties', 'away_penalties', 'height_ft', 'height_in', 'weight_lb', 'home_score_outlier', 'away_score_outlier', 'expanded_minutes_outlier', 'season_name_outlier', 'matchday_outlier', 'attendance_outlier', 'extra_time_outlier', 'penalties_outlier', 'home_penalties_outlier', 'away_penalties_outlier']"
player_stats,2024-12-03 00:55:02.869254 - Detected 0 duplicate rows.
player_stats,2024-12-03 00:55:02.878512 - Removed duplicate rows.
player_stats,2024-12-03 00:55:02.885072 - Removed duplicate columns.
player_stats,"2024-12-03 00:55:02.885072 - Dropped unwanted columns: ['extra_time', 'penalties', 'home_penalties', 'away_penalties', 'height_ft', 'height_in', 'weight_lb', 'season_name_outlier', 'minutes_played_outlier', 'shots_outlier', 'shots_on_target_outlier', 'goals_outlier', 'xgoals_outlier', 'xplace_outlier', 'goals_minus_xgoals_outlier', 'key_passes_outlier', 'primary_assists_outlier', 'xassists_outlier', 'primary_assists_minus_xassists_outlier', 'xgoals_plus_xassists_outlier', 'points_added_outlier', 'xpoints_added_outlier']"
player_salaries,2024-12-03 00:55:03.130264 - Detected 0 duplicate rows.
player_salaries,2024-12-03 00:55:03.138166 - Removed duplicate rows.
player_salaries,2024-12-03 00:55:03.138166 - Removed duplicate columns.
player_salaries,"2024-12-03 00:55:03.138166 - Dropped unwanted columns: ['extra_time', 'penalties', 'home_penalties', 'away_penalties', 'height_ft', 'height_in', 'weight_lb', 'season_name_outlier', 'base_salary_outlier', 'guaranteed_compensation_outlier']"
