player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition,height_ft_outlier,height_in_outlier,weight_lb_outlier
0Oq624oPq6,Kalani Kossa-Rienzi,2002-06-27,USA,DF,FB,MF,W,2024,5.0,8.0,150.0,mls,False,False,False
0Oq633E7Q6,Abdi Salim,2001-04-01,USA,DF,CB,,,2023,,,,mls,False,False,False
0Oq63n7Q6D,Eric Hassli,1981-05-03,France,FW,ST,,,2013,6.0,4.0,201.0,mls,False,False,False
0Oq63oxzQ6,Aiden McFadden,1998-09-28,USA,DF,FB,,,2022,5.0,9.0,165.0,mls,False,False,False
0Oq6la47M6,Pecka,1989-05-02,Brazil,MF,DM,,CM,2015,5.0,8.0,152.0,mls,False,False,False
0Oq6lakAM6,Ben Newnam,1991-04-18,USA,DF,FB,,,2015,5.0,10.0,165.0,mls,False,False,False
0Oq6lDAgM6,Deian Boldor,1995-02-03,Romania,DF,CB,,,2017,6.0,2.0,174.0,mls,False,False,False
0Oq6lj26M6,Samuel,1991-02-25,Brazil,FW,ST,,,2014,6.0,1.0,192.0,mls,False,False,False
0Oq6ln0zM6,Emery Welshman,1991-11-09,USA,FW,ST,,,2013,5.0,11.0,181.0,mls,False,False,False
0Oq6lp3XM6,Enzo Martinez,1990-09-29,Uruguay,MF,CM,,,2018,5.0,7.0,161.0,mls,False,False,False
0Oq6LpK2M6,Wayne Frederick,2004-06-13,Trinidad & Tobago,MF,AM,,,2024,,,,mls,False,False,False
0Oq6lYbAM6,Luiz Camargo,1987-05-04,Brazil,MF,CM,,,2013,5.0,8.0,174.0,mls,False,False,False
0Oq6O0XQ6D,Emmanuel Ledesma,1988-05-24,Argentina,MF,W,,,2019,5.0,11.0,170.0,mls,False,False,False
0Oq6oePQ6D,Arévalo Ríos,1982-01-01,Uruguay,MF,CM,,,2013,5.0,7.0,150.0,mls,False,False,False
0Oq6w9J2Q6,Augustine Williams,1997-08-03,Sierra Leone,FW,ST,,,2021,6.0,2.0,165.0,mls,False,False,False
0Oq6we8zQ6,Joshua Drack,1999-09-22,USA,MF,DM,,,2021,5.0,8.0,152.0,mls,False,False,False
0Oq6weerQ6,Andrew Wheeler-Omiunu,1994-12-01,USA,MF,CM,,,2018,5.0,9.0,174.0,mls,False,False,False
0Oq6wmydQ6,Denil Maldonado,1998-05-26,Honduras,DF,CB,,,2023,5.0,10.0,,mls,False,False,False
0Oq6wvbgQ6,Vitor Costa,1994-07-01,Brazil,DF,FB,,,2024,6.0,0.0,161.0,mls,False,False,False
0Oq6wZlXQ6,Michaell Chirinos,1995-06-17,Honduras,MF,W,FW,W,2019,5.0,5.0,146.0,mls,False,False,False
0x5g1NZQ7O,Brian Ching,1978-05-24,USA,FW,ST,,,2013,6.0,1.0,196.0,mls,False,False,False
0x5g2EwmM7,Michael Edwards,2000-11-27,USA,DF,CB,,,2024,,,,mls,False,False,False
0x5g2Ra7M7,Taylor Hunter,1993-07-07,USA,DF,FB,,,2015,6.0,0.0,174.0,mls,False,False,False
0x5g2VW7M7,Romain Gall,1995-01-31,USA,FW,ST,MF,W,2014,5.0,9.0,141.0,mls,False,False,False
0x5g2wGjM7,Bruno Gaspar,1993-04-21,Angola,DF,FB,,,2021,5.0,11.0,152.0,mls,False,False,False
0x5g2ZRZM7,Oalex Anderson,1995-11-11,St. Vincent and the Grenadines,FW,W,,,2016,5.0,8.0,154.0,mls,False,False,False
0x5g8Nwq7O,Michael Thomas,1989-03-08,USA,MF,CM,,,2013,5.0,10.0,192.0,mls,False,False,False
0x5gBe7M7O,Muhamed Keita,1990-09-02,Norway,MF,CM,,,2017,5.0,8.0,143.0,mls,False,False,False
0x5gJEVLM7,Jacob Murrell,2004-03-28,USA,FW,ST,,,2024,6.0,2.0,,mls,False,False,False
0x5gJg07M7,Malachi Jones,2003-09-23,Sierra Leone,MF,W,,,2024,5.0,10.0,,mls,False,False,False
0x5gJWwjM7,Dawid Bugaj,2004-07-09,Poland,DF,FB,,,2024,,,,mls,False,False,False
0x5gLEGRq7,Oskar Aegren,1998-09-10,Sweden,DF,CB,,,2022,6.0,2.0,179.0,mls,False,False,False
0x5gP64Pq7,Richard Balchan,1989-01-18,USA,DF,FB,,,2014,6.0,0.0,165.0,mls,False,False,False
0x5gPakRq7,Nicolás Freire,1994-02-18,Argentina,DF,CB,,,2024,6.0,1.0,176.0,mls,False,False,False
0x5gPeBPq7,Giliano Wijnaldum,1992-08-31,Netherlands,DF,FB,,,2017,5.0,11.0,168.0,mls,False,False,False
0x5gPV9Zq7,Masato Kudo,1990-05-06,Japan,FW,ST,,,2016,5.0,10.0,163.0,mls,False,False,False
0x5gPy4mq7,Danny Garcia,1993-10-14,USA,MF,AM,,,2014,5.0,4.0,146.0,mls,False,False,False
0x5gvbjM7O,Steven Vitória,1987-01-11,Canada,DF,CB,,,2015,6.0,5.0,190.0,mls,False,False,False
0x5gWwgr57,Álvaro Quezada,1999-03-04,USA,DF,FB,,,2021,5.0,9.0,150.0,mls,False,False,False
2e7Mzo75r0,Darel Russell,1980-10-22,England,MF,CM,,,2013,5.0,10.0,163.0,mls,False,False,False
2lqR7EBWQr,Nimfasha Berchimas,2008-02-22,USA,MF,W,,,2024,,,,mls,False,False,False
2lqR7pJQr0,Kléberson,1979-06-19,Brazil,MF,CM,,,2013,5.0,9.0,141.0,mls,False,False,False
2lqR7V9AQr,Georgi Minoungou,2002-07-25,Ivory Coast,MF,W,,,2024,,,,mls,False,False,False
2lqR7YEaQr,Jackson Travis,2004-02-23,USA,DF,FB,,,2024,,,,mls,False,False,False
2lqR7yoAQr,Mykhi Joyner,2006-08-30,USA,MF,W,,,2024,,,,mls,False,False,False
2lqR7yyDQr,Alessandro Biello,2006-04-07,Canada,MF,CM,,,2024,6.0,1.0,,mls,False,False,False
2lqRJ0l4qr,Hosei Kijima,2002-07-01,Japan,MF,AM,,,2024,5.0,10.0,,mls,False,False,False
2lqRj80qr0,Juninho Pernambucano,1975-01-30,Brazil,MF,CM,,,2013,5.0,10.0,157.0,mls,False,False,False
2lqRJeA4qr,Bryant Farkarlun,2001-07-14,Liberia,MF,W,,,2024,,,,mls,False,False,False
2lqRjL12qr,Brandan Craig,2004-04-07,USA,MF,DM,,,2022,6.0,1.0,159.0,mls,False,False,False
2lqRJpxnqr,Hugo Bacharach,2001-07-27,Spain,DF,CB,,,2024,,,,mls,False,False,False
2lqRJpzJqr,Jose Casas de Abadal,2000-06-20,USA,FW,W,DF,FB,2024,,,,mls,False,False,False
2lqRk034Qr,Keegan Hughes,2000-07-22,USA,DF,CB,,,2023,,,,mls,False,False,False
2lqRk08nQr,Luis Arriaga,2001-01-26,USA,MF,DM,,,2019,5.0,7.0,141.0,mls,False,False,False
2lqRk3EJQr,Walker Hume,1993-08-22,USA,DF,CB,,,2017,,,,mls,False,False,False
2lqRkdg4Qr,Raymond Lee,1993-04-26,USA,DF,FB,,,2015,5.0,11.0,176.0,mls,False,False,False
2lqRkeWaQr,Jon Bakero,1996-11-05,Spain,FW,ST,,,2018,6.0,2.0,163.0,mls,False,False,False
2lqRkj6AQr,Trevor Spangenberg,1991-04-21,USA,GK,GK,,,2014,6.0,3.0,192.0,mls,False,False,False
2lqRkjBAQr,Kyle Scott,1997-12-22,USA,MF,CM,,,2021,5.0,8.0,150.0,mls,False,False,False
2lqRkRPaQr,Fifi Baiden,1991-11-11,USA,MF,DM,,,2014,5.0,7.0,152.0,mls,False,False,False
2lqRL2JMr0,George John,1987-03-20,USA,DF,CB,,,2013,6.0,3.0,209.0,mls,False,False,False
2lqRNNLqr0,Colin Clark,1984-04-11,USA,MF,W,,,2013,6.0,0.0,176.0,mls,False,False,False
2lqRNx4qr0,Carlos Borja,1988-01-18,USA,DF,FB,,,2013,6.0,0.0,179.0,mls,False,False,False
2lqRR1wxqr,Marlon,1995-09-07,Brazil,DF,CB,,,2024,6.0,0.0,176.0,mls,False,False,False
2lqRR3wJqr,Bjørn Inge Utvik,1996-02-28,Norway,DF,CB,,,2024,6.0,0.0,165.0,mls,False,False,False
